imageURL	prominence	wikidataURL	label	elevation
http://commons.wikimedia.org/wiki/Special:FilePath/20040727-59%20Arnoldstein%20Dreil%C3%A4ndergrenzstein.jpg	1.4	http://www.wikidata.org/entity/Q3309	Peč	1508
http://commons.wikimedia.org/wiki/Special:FilePath/Dreil%C3%A4ndereck-Monte%20Forno.JPG	1.4	http://www.wikidata.org/entity/Q3309	Peč	1508
http://commons.wikimedia.org/wiki/Special:FilePath/ZupoVonArgient.jpg	2.3	http://www.wikidata.org/entity/Q16674	Piz Zupò	3995
http://commons.wikimedia.org/wiki/Special:FilePath/ZupoVonArgient.jpg	2.3	http://www.wikidata.org/entity/Q16674	Piz Zupò	3996
http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20maudit.jpg	1.9	http://www.wikidata.org/entity/Q30415	Mont Maudit	4465
http://commons.wikimedia.org/wiki/Special:FilePath/Punta%20Parrot0002.jpg	0.9	http://www.wikidata.org/entity/Q30418	Parrotspitze	4432
http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20and%20Dome%20du%20Gouter.jpg	1.98	http://www.wikidata.org/entity/Q30434	Dôme du Goûter	4304
http://commons.wikimedia.org/wiki/Special:FilePath/Monte%20Rosa%20-%20Castor.jpg	2.4	http://www.wikidata.org/entity/Q30446	Castor	4223
http://commons.wikimedia.org/wiki/Special:FilePath/AiguillesPeuterey0002.jpg	1	http://www.wikidata.org/entity/Q30472	Aiguille Blanche de Peuterey	4112
http://commons.wikimedia.org/wiki/Special:FilePath/Bionassay0001.jpg	1.8	http://www.wikidata.org/entity/Q30493	Aiguille de Bionnassay	4052
http://commons.wikimedia.org/wiki/Special:FilePath/AiguilleduGeant0001.jpg	0.9	http://www.wikidata.org/entity/Q30533	Dôme de Rochefort	4015
http://commons.wikimedia.org/wiki/Special:FilePath/AiguilleduGeant0001.jpg	1.2	http://www.wikidata.org/entity/Q30541	Dent du Géant	4013
http://commons.wikimedia.org/wiki/Special:FilePath/WilderFreiger2012.jpg	2	http://www.wikidata.org/entity/Q180378	Wilder Freiger	3418
http://commons.wikimedia.org/wiki/Special:FilePath/Ifinger%20Westansicht.JPG	1.67	http://www.wikidata.org/entity/Q467229	Ifinger	2581
http://commons.wikimedia.org/wiki/Special:FilePath/Thurwieserspitze%20etwa%201890.jpg	1.6	http://www.wikidata.org/entity/Q479050	Thurwieserspitze	3652
http://commons.wikimedia.org/wiki/Special:FilePath/Chavalatsch%20Gipfelkreuz%2001.jpg	2.05	http://www.wikidata.org/entity/Q525419	Piz Chavalatsch	2763
http://commons.wikimedia.org/wiki/Special:FilePath/Wollbachspitze.JPG	0.83	http://www.wikidata.org/entity/Q638086	Wollbachspitze	3209
http://commons.wikimedia.org/wiki/Special:FilePath/Wildgall%20von%20S%C3%BCdost.JPG	0.77	http://www.wikidata.org/entity/Q646359	Wildgall	3273
http://commons.wikimedia.org/wiki/Special:FilePath/Hoher%20Wei%C3%9Fzint%20von%20Westen.JPG	1	http://www.wikidata.org/entity/Q662994	Hoher Weißzint	3371
http://commons.wikimedia.org/wiki/Special:FilePath/Turnerkamp%20vom%20Rossr%C3%BCckengrat%20aus%20gesehen.jpg	2.1	http://www.wikidata.org/entity/Q663046	Turnerkamp	3418
